source,class,file
urbansound8k,car_horn,../data/raw/UrbanSound8K\audio\fold10\100648-1-0-0.wav
urbansound8k,car_horn,../data/raw/UrbanSound8K\audio\fold10\100648-1-1-0.wav
urbansound8k,car_horn,../data/raw/UrbanSound8K\audio\fold10\100648-1-2-0.wav
urbansound8k,car_horn,../data/raw/UrbanSound8K\audio\fold10\100648-1-3-0.wav
urbansound8k,car_horn,../data/raw/UrbanSound8K\audio\fold10\100648-1-4-0.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold7\102853-8-0-0.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold7\102853-8-0-1.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold7\102853-8-0-2.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold7\102853-8-0-3.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold7\102853-8-0-4.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold7\102853-8-0-5.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold7\102853-8-0-6.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold7\102853-8-1-0.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-0.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-1.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-10.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-11.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-12.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-13.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-14.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-15.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-16.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-17.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-18.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-19.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-2.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-20.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-21.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-22.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-23.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-24.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-25.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-26.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-27.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-28.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-29.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-3.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-30.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-4.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-5.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-6.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-7.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-8.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold10\102857-5-0-9.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold2\102858-5-0-0.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold2\102858-5-0-1.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold2\102871-8-0-0.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold2\102871-8-0-1.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold2\102871-8-0-10.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold2\102871-8-0-11.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold2\102871-8-0-12.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold2\102871-8-0-13.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold2\102871-8-0-14.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold2\102871-8-0-15.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold2\102871-8-0-2.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold2\102871-8-0-3.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold2\102871-8-0-4.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold2\102871-8-0-5.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold2\102871-8-0-6.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold2\102871-8-0-7.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold2\102871-8-0-8.wav
urbansound8k,siren,../data/raw/UrbanSound8K\audio\fold2\102871-8-0-9.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-0.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-1.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-10.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-11.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-12.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-13.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-14.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-15.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-16.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-17.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-18.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-19.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-2.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-3.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-4.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-5.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-6.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-7.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-8.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold9\103249-5-0-9.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold1\103258-5-0-0.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold1\103258-5-0-1.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold1\103258-5-0-10.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold1\103258-5-0-11.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold1\103258-5-0-12.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold1\103258-5-0-13.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold1\103258-5-0-14.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold1\103258-5-0-15.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold1\103258-5-0-16.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold1\103258-5-0-17.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold1\103258-5-0-18.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold1\103258-5-0-19.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold1\103258-5-0-2.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold1\103258-5-0-3.wav
urbansound8k,engine_idling,../data/raw/UrbanSound8K\audio\fold1\103258-5-0-4.wav
